
📺中国央视频道,#genre#
CCTV-15,http://220.249.114.102:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://60.164.128.167:8029/rtp/239.255.30.68:8231
CCTV-15,http://115.60.241.249:2000/rtp/225.1.4.216:1269
CCTV-15,http://123.112.19.67:8012/rtp/239.3.1.153:8136
CCTV-15,http://www.furymax.top:85/rtp/239.69.1.155:10566
CCTV-15,http://183.130.30.174:8808/rtp/233.50.201.15:5140
CCTV-15,http://218.241.192.50:8808/rtp/239.3.1.153:8136
CCTV-16,http://60.164.128.167:8029/rtp/239.255.30.88:8231
CCTV-16,http://115.60.241.249:2000/rtp/225.1.5.46:1356
CCTV-16,http://123.113.189.90:8001/rtp/239.3.1.183:8001
CCTV-16,http://222.129.139.91:8888/udp/239.3.1.184:8001
CCTV-16,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8
CCTV-16,http://111.196.129.152:20000/udp/239.3.1.184:8001
CCTV-17,http://115.60.241.249:2000/rtp/225.1.4.226:2506
CCTV-17,http://221.221.167.14:8888/rtp/239.3.1.151:8144
CCTV-17,http://218.241.192.50:8808/rtp/239.3.1.151:8144
CCTV-17,http://222.129.139.91:8888/udp/239.3.1.151:8144
CCTV-17,http://111.199.234.10:18888/udp/239.3.1.151:8144
CCTV-17,http://223.12.13.231:8082/udp/239.1.1.23:8023
CETV1,https://api.livednow.org/migu/923287154?sign=gAAAAABnJcJqVnSXrUUkkYtDWAxHBieXZon2_B2kDSLm9uRif8tufnQMZcjl_RWKY3uwdHLw3clP4ObeP_RJCfjzNqvhDl56kIzLwahI8Rpl8YL2mC2bIKCEwo1CTMP3N7towvh9GjPz2p03gh4qPAFaBTwBczKVxvPMZJuY38uaXlaYqc1ZCAxb6IXrCuhMgtIk47Cy_Xr3f2yZPPNUxvfT_w7Apd4-wA%3D%3D
CETV1,http://120.76.248.139/live/bfgd/4200000135.m3u8
CETV1,http://43.138.11.122/cq/yh.php?id=G_CETV-1-HQ
CETV2,http://43.138.11.122/cq/yh.php?id=G_CETV-2
CETV2,https://api.livednow.org/migu/923287211?sign=gAAAAABnJcJqlMwKhypib47dsLMmTDrhIquQSbEM7k3NFiho8sMsjCHT4g572J4Z--cW7zs2z_6Lx0QQN3EtPgKjUeRYzAw_Pefu6uNdTfTWIxiPQBUlDBQAopWhjF5YyomATi-_zP6RZfvDmQL9fGjx83S2vkZBq3CHDShPVmtCSDb_q7lsjHNypuh-YPlAWJsoIfnocfSN3TiN1au-DXXraOO_mvUgDg%3D%3D
CETV2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CETV4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
